year,id,pap_majortopic,pap_subtopic,majortopic,subtopic,description,filter_democrat,words
1964,2598,20,2011,20,2011,"In 1960, we urged actioníï""To improve Congressional procedures so that majority rule prevails.""",1,13
1964,2599,20,2011,20,2011,"In 1961, the House Rules Committee was enlarged from 12 to 15 members, making it more representative of the views of the majority, and thereby enabling much important legislation to be reported to the floor for a vote by the entire House membership.",1,43
1964,2600,20,2011,20,2011,"In 1964, for the first time in history, the Senate voted to limit debate on a civil rights measure, thus permitting the Civil Rights Act to come to a vote, and thereby to be enacted.",1,35
1964,2601,15,1525,15,1525,"In 1960, we proposedíï""Effective Government representation and protection"" for consumers.",1,10
1964,2602,15,1525,15,1525,"In 1962, President Kennedy became the first Chief Executive to send a message to Congress on consumer matters.",1,18
1964,2603,15,1525,15,1525,This Executive action was closely followed by the creation of a Consumer Advisory Council.,1,14
1964,2604,15,1525,15,1525,"In 1964, President Johnson appointed the first Special Assistant to the President for Consumer Affairs, and created a new President's Committee on Consumer Interests.",1,24
1964,2605,3,321,3,321,"The Kefauver-Harris Drug Amendments of 1962 were the most far-reaching improvements in the Food, Drug and Cosmetics Act since 1938.",1,20
1964,2606,3,321,3,321,"Under these amendments:Effective legal tools were provided to insure greater safety in connection with the manufacture, distribution and use of drugs.",1,21
1964,2607,3,321,3,321,Vital safeguards were added for drug research and manufacture.,1,9
1964,2608,3,321,3,321,Interstate distribution of new drugs for testing was barred until an adequate plan of investigation was made available to the Food and Drug Administration.,1,24
1964,2609,3,321,3,321,Domestic drug manufacturing establishments will now be required to register annually and be inspected by the FDA at least once a year.,1,22
1964,2610,15,1525,15,1525,"The Administration has vigorously supported Truth-in-Lending, Truth-in-Packaging, and Truth-in-Securities bills.",1,10
1964,2611,15,1525,15,1525,The titles of these bills explain their objectives.,1,8
1964,2612,15,1525,15,1525,"Together, they form a triple armor of protection: for buyers of packaged goods, from prevailing deceptive practices;",1,17
1964,2613,15,1501,15,1501,"for borrowers of money, from hidden and unscrupulous interest and carrying charges;",1,12
1964,2614,15,1502,15,1502,and for investors in securities from unfair practices threatening to vital savings.,1,12
1964,2615,15,1525,15,1525,The first two bills are still awaiting Congressional action;,1,9
1964,2616,15,1502,15,1502,the third is now a law.,1,6
1964,2617,8,803,8,803,The upward spiral in the price of natural gas which took place in the decade of the 1950's has been halted by vigorous regulatory action of the Federal Power Commission and the nation's 36 million consumers of natural gas have benefited from rate reductions and refunds in excess of $600 million.,1,51
1964,2618,8,803,8,803,Natural gas moving largely in interstate pipelines now supplies almost a third of the nation's energy requirements.,1,17
1964,2619,8,803,8,803,Regulation to insure its availability in ample supply and at reasonable prices is an important consumer protection function which is now being effectively discharged.,1,24
1964,2620,16,1609,16,1608,"In 1960, we proposedíï""Adequate compensation for those with service-connected disabilities,"" and ""pensions adequate for a full and dignified life for disabled and distressed veterans and for needy survivors of deceased veterans.""",1,31
1964,2621,16,1609,16,1608,"Since 1961, we have achieved:Increased disability payments for veterans with service-connected disabilities.",1,12
1964,2622,16,1609,16,1608,"In the first year alone, this increase provided veterans with additional payments of about $98 million.",1,16
1964,2623,16,1609,16,1608,"An increase of about 10 percent a month in the compensation for widows, children, and parents of veterans who died of service-connected disabilities.",1,23
1964,2624,16,1609,16,1608,An increase from $112 to $150 a month in the dependency and indemnity compensation payable to widows of veterans who died of service-connected disabilities.,1,24
1964,2625,16,1609,16,1608,"Increased compensation benefits to veterans disabled by blindness, deafness, and kidney disorders, and increased benefits to widows and orphans of veterans whose deaths were service-connected.",1,25
1964,2626,16,1609,16,1608,"In 1960, we endorsedíï""Expanded programs of vocational rehabilitation for disabled veterans, and education for orphans of servicemen.""",1,17
1964,2627,16,1609,16,1608,"Since 1961, vocational rehabilitation and training has enabled thousands of GI's to choose occupations and acquire valuable training.",1,18
1964,2628,16,1609,16,1608,"For the first time, veterans with peacetime service-connected disabilities have been afforded vocational rehabilitation training.",1,15
1964,2629,16,1609,16,1608,"In addition, vocational rehabilitation was extended to blinded World War II and Korean conflict veterans, and war orphans' educational assistance was extended in behalf of certain reservists called to active duty.",1,31
1964,2630,3,300,3,300,"In 1960, we statedíï""The quality of medical care furnished to the disabled veterans has deteriorated ....",1,16
1964,2631,3,300,3,300,"We shall work for all increased availability of facilities for all veterans in need and we shall move with particular urgency to fulfill the need for expanded domiciliary and nursing-home facilities.""",1,31
1964,2632,3,322,3,322,"Since 1961, we haveíïApproved the construction of new, modern hospitals, a number of which are being built near medical schools to improve veterans' care and research.",1,26
1964,2633,3,325,3,325,"Added more full-time doctors to the VA staff, bringing it to an all-time high of nearly 5,000.",1,17
1964,2634,3,300,3,300,"Provided hospital and medical care, including out-patient treatment, to peacetime ex-servicemen for service-connected disabilities on the same basis furnished war veterans.",1,21
1964,2635,3,398,3,398,"Stepped up medical research programs, which have made outstanding contributions to American medicine.",1,13
1964,2636,14,1407,14,1407,"In 1960, we pledgedíï""We shall continue the veterans home loan guarantee and direct loan programs and education benefits patterned after the GI Bill of Rights.""",1,25
1964,2637,14,1407,14,1407,"Since 1961, legislation has extended veterans home loans for both World War II and Korean conflict veterans.",1,17
1964,2638,14,1407,14,1407,The GI Bill of Rights for Korean veterans was also extended for the benefit of certain reservists called to active duty.,1,21
1964,2639,16,1609,16,1608,"Despite this considerably increased activity, the Veterans Administration has reduced its operating costs.",1,13
1964,2640,21,2102,21,2102,"In 1960, we pledgedíï""Prompt adoption of a program to assist Indian tribes in the full development of their human and natural resources and to advance the health, education and economic well-being of Indian citizens while preserving their cultural heritage.""",1,39
1964,2641,21,2102,21,2102,"In these 3 1/2 years:New classrooms have been provided for more than 7,000 Indian children;",1,15
1964,2642,21,2102,21,2102,"summer educational programs have been expanded tenfold so they now serve more than 20,000 students;",1,15
1964,2643,21,2102,21,2102,and a special institute to train artistically gifted Indian youth has been established.,1,13
1964,2644,21,2102,21,2102,Indian enrollment in vocational training programs has been doubled.,1,9
1964,2645,21,2102,21,2102,"For the first time in history, Federal low-rent housing programs have been launched on Indian reservations, and more than 3,100 new housing units have now been authorized.",1,27
1964,2646,21,2102,21,2102,Industrial plants offering employment opportunities for thousands of Indians are being opened on Indian reservations.,1,15
1964,2647,21,2102,21,2102,"Accelerated Public Works projects on 89 reservations in 21 States have provided nearly 30,000 man-months of employment.",1,17
1964,2648,21,2102,21,2102,The Vocational Education Act and the Adult Indian Vocational Training Act have been amended to provide improved training for Indians.,1,20
1964,2649,6,609,23,2300,"In 1960, we observedíï""The arts flourish where there is freedom and where individual initiative and imagination are encouraged.""",1,18
1964,2650,6,609,23,2300,No single quality of the new Administration was more immediately evident to the Nation and the world than the recognition it gave to American artists.,1,25
1964,2651,6,609,23,2300,"President Kennedy early created an advisory commission to assist in the growth and development of the arts, and the Administration secured amendments to the Educational and Cultural Exchange Act to improve the quality and effectiveness of the international educational and cultural exchange programs.",1,43
1964,2652,6,609,23,2300,"This past year, the John F. Kennedy Center for the Performing Arts was established to stimulate widespread interest in the arts.",1,21
1964,2653,20,2099,20,2099,"On Washington's Birthday 1963, President Kennedy, by Executive Order, created a new Presidential Medal of Freedom as the highest civil honor conferred by the President in peace time upon persons who have made distinctive contributions to the security and national interest of the United States, to world peace, or to cultural activities.",1,52
1964,2654,20,2099,20,2099,"Henceforth, those men and women selected by the President for the Medal will be announced annually on the Fourth of July and will be presented with medals at an appropriate White House ceremony.",1,33
1964,2655,14,1403,14,1403,"In his address to the University of Michigan in May 1964, President Johnson proposed that we begin to build the Great Society first of all in the cities of America, restoring the beauty and dignity which urban centers have lost.",1,40
1964,2656,20,2014,20,2014,That same month the President's Council on Pennsylvania Avenue presented to him a sweeping proposal for the reconstruction of the center of the City of Washington.,1,26
1964,2657,20,2014,20,2014,"The proposal has been hailed as ""a blueprint for glory . . . a realistic and far-seeing redevelopment scheme that may be Washington's last chance to save its 'Avenue of Presidents.'""",1,31
1964,2658,2,200,2,200,"In 1960, we reaffirmedíï""Our dedication to the Bill of Rights. Freedom and civil liberties, far from being incompatible with security, are vital to our national strength.""",1,26
1964,2659,2,209,2,209,"The era of fear and suspicion brought on by accusations, true and false, of subversive activities and security risks has passed.",1,21
1964,2660,2,209,2,209,"The good sense of the American people, and the overwhelming loyalty of our citizenry have combined to restore balance and calm to security activities, without in any way diminishing the scope or effectiveness of those activities.",1,36
1964,2661,2,209,2,209,The Administration has jealously guarded the right of each American to protect his good name.,1,15
1964,2662,2,209,2,209,"Except in those instances where the national security is overriding, confrontation of the accuser is now required in all loyalty hearings.",1,21
1964,2663,2,209,2,209,Individuals whose loyalty is being questioned must also be notified of the charges in sufficient time for them to prepare their defense.,1,22
1964,2664,12,1204,12,1204,"The Criminal Justice Act of 1964, now before the President for signature, will for the first time in history ensure that poor defendants in criminal cases will have competent legal counsel in defending themselves in Federal courts.",1,37
1964,2665,20,2002,20,2002,"In 1960, we promisedíï""We shall end the gross waste in Federal expenditures which needlessly raises the budgets of many Government agencies.""",1,21
1964,2666,20,2002,20,2002,"Since 1961, we have moved boldly and directly to eliminate waste and duplication wherever it occurs.",1,16
1964,2667,16,1600,16,1600,"For example, the Department of Defense has embarked on a far-reaching program to realize savings through improvements in its efficiency and management.",1,22
1964,2668,16,1600,16,1600,This program has already produced savings of more than $1 billion in Fiscal Year 1963 and $2.5 billion in the Fiscal Year just completed.,1,24
1964,2669,16,1600,16,1600,"By 1964, it is expected that the program will produce yearly savings of over $4 billion.",1,16
1964,2670,20,2004,20,2004,"At the close of the past Fiscal Year Federal employment had been reduced by 22,000 over the total one year earlier.",1,21
1964,2671,20,2002,20,2002,The 1965 budget calls for lower expenditures than in the preceding yearíïonly the second time such a feat has been accomplished in the past 10 years.,1,26
1964,2672,20,2009,20,2009,"In 1960, we pledgedíï""We shall collect the billions in taxes which are owed to the Federal Government but are not now collected.""",1,22
1964,2673,20,2009,20,2009,"To handle additional work in income tax collection, 3,971 new employees were added to the Internal Revenue Service by the Congress in fiscal 1961;",1,24
1964,2674,20,2009,20,2009,"2,817 new positions were added in fiscal 1963;",1,8
1964,2675,20,2009,20,2009,"and about 1,000 more in fiscal 1964.",1,7
1964,2676,20,2009,20,2009,The additional revenue which these employees will produce will far exceed the cost of their employment.,1,16
1964,2677,1,107,1,107,"In 1960, we pledgedíï""We shall close the loopholes in the tax laws by which certain privileged groups legally escape their fair share of taxation.""",1,24
1964,2678,1,107,1,107,The Revenue Acts of 1962 and 1964 eliminated more loopholes than all the revenue legislation from 1941 to 1962 combined.,1,20
1964,2679,1,107,1,107,"They raised $1.7 billion annually in new revenue, nine times the sum raised in this manner during the 1953-60 period.",1,20
1964,2680,1,107,1,107,"These bills sharply limited expense account abuses, special preferences to U. S. firms and individuals operating abroad, escapes from taxation through personal holding companies and many other unjustified advantages.",1,29
1964,2681,2,201,2,201,"In 1960, we pledgedíï""We shall... seek to create an affirmative new atmosphere in which to deal with racial divisions and inequalities which threaten both the integrity of our democratic faith and the proposition on which our Nation was foundedíïthat all men are created equal.""",1,44
1964,2682,2,201,2,201,That pledge was made from the deepest moral conviction.,1,9
1964,2683,2,201,2,201,It was carried out on the same basis.,1,8
1964,2684,2,201,2,201,"From the establishment of the President's Committee on Equal Employment Opportunity, under the chairmanship of the then Vice President Lyndon B. Johnson, on March 6, 1961 to this moment, the efforts of the Administration to provide full and equal civil rights for all Americans have never relaxed.",1,47
1964,2685,2,201,2,201,"The high point of achievement in this effort was reached with the passage of the Civil Rights Act of 1964, the greatest civil rights measure in the history of the American people.",1,32
1964,2686,2,201,2,201,"This landmark of our Democracy bars discrimination in the use of public accommodations, in employment, and in the administering of Federally-assisted programs.",1,22
1964,2687,2,201,2,201,"It makes available effective procedures for assuring the right to vote in Federal elections, directs Federal technical and financial assistance to local public school systems in desegregation, and strengthens the Civil Rights Commission.",1,33
1964,2688,2,201,2,201,"This comprehensive legislation resolves many of the festering conflicts which had been a source of irritating uncertainty, and smooths the way for favorable resolution of these problems.",1,27
1964,2689,2,201,2,201,"We have also insisted upon non-discrimination in apprenticeship, and have made free, unsegregated access a condition for Federal financial assistance to public libraries, programs for training of teachers of the handicapped, counseling, guidance and foreign language institutes, adult civil defense classes, and manpower development and training programs.",1,47
1964,2690,2,201,2,201,"In supporting construction of Hill-Burton hospitals, mental retardation and community health facilities, we have required non-discrimination in admission and provision of services and granting of staff privileges.",1,27
1964,2691,2,201,2,201,"We have been equally firm in opposing any policy of quotas or ""discrimination in reverse,"" and all other arbitrary or irrelevant distinctions in American life.",1,25
1964,2692,0,-555,0,-555,"This, then, is the accounting of our stewardship.",1,8
1964,2693,0,-555,0,-555,The 1960 platform was not directed to any one sector or group of Americans with particular interests.,1,17
1964,2694,0,-555,0,-555,"It proclaimed, rather, the Rights of Man.",1,7
1964,2695,0,-555,0,-555,"The platform asserted the essential fact of that moment in our historyíïthat the next administration to take office would face as never before the ""responsibility and opportunity to call forth the greatness of the American people.""",1,36
1964,2696,0,-555,0,-555,That responsibility was met;,1,4
1964,2697,0,-555,0,-555,"that opportunity was seized,",1,4
1964,2698,0,-555,0,-555,The years since have been times of towering achievement.,1,9
1964,2699,0,-555,0,-555,We are proud to have been a part of this history.,1,11
1964,2700,0,-555,0,-555,"The task of leadership is to lead, and that has been our purpose.",1,13
1964,2701,0,-555,0,-555,But the achievements of the nation over this period outreach the contribution of any party;,1,15
1964,2702,0,-555,0,-555,they are the work of the American people.,1,8
1964,2703,0,-555,0,-555,"In the 1,000 days of John F. Kennedy, in the eventful and culminating months of Lyndon B. Johnson, there has been born a new American greatness.",1,26
1964,2704,0,-555,0,-555,Let us continue.,1,3
1968,2705,0,-555,0,-555,"America belongs to the people who inhabit it,",1,8
1968,2706,0,-555,0,-555,The source of the nation's strength is the people's freedom to be the source of the laws governing them.,1,19
1968,2707,0,-555,0,-555,"To uphold this truth, when Thomas Jefferson and James Madison brought the Democratic Party to birth 175 years ago, they bound it to serve the people and their government as a united whole.",1,33
1968,2708,0,-555,0,-555,"Today, in our 175th anniversary year, the Democratic Party in national convention assembled, again renews the covenant of our birth.",1,20
1968,2709,0,-555,0,-555,We affirm the binding force of our inherited duty to serve the people and their government.,1,16
1968,2710,0,-555,0,-555,"We here, therefore, account for what we have done in the Democratic years since 1961.",1,15
1968,2711,0,-555,0,-555,We here state what we will do when our party is again called to lead the nation.,1,17
1968,2712,0,-555,0,-555,"In America and in the world over, strong forces for change are on the move.",1,15
1968,2713,0,-555,0,-555,"Systems of thought have been jarred, ways of life have been uprooted, institutions are under siege.",1,16
1968,2714,0,-555,0,-555,The governed challenge those who govern.,1,6
1968,2715,0,-555,0,-555,"We are summoned, therefore, to a fateful taskíïto ensure that the turmoil of change will prove to be the turmoil of birth instead of decay.",1,25
1968,2716,0,-555,0,-555,We cannot stand still until we are overtaken by events.,1,10
1968,2717,0,-555,0,-555,We dare not entrust our lives to the blind play of accident and force.,1,14
1968,2718,0,-555,0,-555,"By reflection and choice, we must make the impulse for change the agent of orderly progress.",1,16
1968,2719,0,-555,0,-555,There is no alternative.,1,4
1968,2720,0,-555,0,-555,"In the world around us, people have patiently lived with hopes long deferred, with grievances long endured.",1,17
1968,2721,0,-555,0,-555,They are now impatient with patience.,1,6
1968,2722,0,-555,0,-555,"Their demands for change must not only be heard, they must be answered.",1,13
1968,2723,0,-555,0,-555,This is the reality the world as a whole faces.,1,10
1968,2724,0,-555,0,-555,"In America itself, now, and not later, is the right time to strengthen the fabric of our society by making justice and equity the cornerstones of order.",1,27
1968,2725,0,-555,0,-555,"Now, and not later, is the right time to uphold the rule of law by securing to all the people the natural rights that belong to them by virtue of their being human.",1,33
1968,2726,0,-555,0,-555,"Now, and not later, is the right time to unfurl again the flag of human patriotism and rededicate ourselves under it, to the cause of peace among nations.",1,28
1968,2727,0,-555,0,-555,"Now, and not later, is the right time to reclaim the strength spent in quarrels over the past and to apply that strength to America's future.",1,26
1968,2728,0,-555,0,-555,Now is the right time to proceed with the work of orderly progress that will make the future become what we want it to be.,1,25
1968,2729,0,-555,0,-555,It has always been the object of the Democratic Party to march at the head of events instead of waiting for them to happen.,1,24
1968,2730,0,-555,0,-555,It is our resolve to do that in the years aheadíïjust as we did in the Democratic years since 1961 when the nation was led by two Democratic Presidents and four Democratic Congresses.,1,33
1968,2731,0,-555,0,-555,Our pride in the achievements of these Democratic years in no way blinds us to the large and unfinished tasks which still lie ahead.,1,24
1968,2732,0,-555,0,-555,"Just as we know where we have succeeded, we know where our efforts still fall short of our own and the nation's hopes.",1,23
1968,2733,0,-555,0,-555,"And we candidly recognize that the cost of trying the untried, of ploughing new ground, is bound to be occasional error.",1,21
1968,2734,0,-555,0,-555,"In the future, as in the past, we will confront and correct such errors as we carry our program forward.",1,20
1968,2735,0,-555,0,-555,"In this, we are persuaded that the Almighty judges in a different scale those who err in warmly striving to promote the common good, and those who are free from error because they risked nothing at all and were icily indifferent to good and evil alike.",1,46
1968,2736,0,-555,0,-555,We are also persuaded of something else.,1,7
1968,2737,0,-555,0,-555,"What we have achieved with the means at handíïthe social inventions we have made since 1961 in all areas of our internal life, and the initiatives we have pressed along a broad front in the world arenaíïgives us a clear title of right to claim that we know how to move the nation forward toward the attainment of its highest goals in a world of change.",1,66
1968,2738,1,100,1,100,"In presenting first the record of what we have achieved in the economic life of the American people, we do not view the economy as being just dollar signs divorced from the flesh and blood concerns of the people.",1,39
1968,2739,1,100,1,100,"Economics, like politics, involves people and it means people. It means for them the difference between what they don't want and what they do want.",1,25
1968,2740,1,100,1,100,"It means the difference between justice or injustice, health or sickness, better education or ignorance, a good place to live or a rat infested hovel, a good job or corrosive worry.",1,31
1968,2741,1,100,1,100,"In the Democratic years since 1961, under the leadership of Presidents Kennedy and Johnson, we managed the national economy in ways that kept the best aspirations of people in clear view, and brought them closer to fulfillment.",1,37
1968,2742,1,100,1,100,"The case was different in the 1950's, when the Republicans held the trust of national leadership.",1,16
1968,2743,1,100,1,100,"In those years, the American economy creaked and groaned from recurrent recessions.",1,12
1968,2744,1,100,1,100,"One wasteful recession came in 1954, another in 1958, and a third in 1960.",1,14
1968,2745,1,100,1,100,"The loss in national production from all three recessions and from a sluggish rate of growthíïa loss that can fairly be called the GOP-gapíïwas a staggering $175 billion, computed in today's prices.",1,32
1968,2746,1,100,1,100,"The Democratic Party, seeing the Republican inertia and the dangers it led to, promised to get America moving again.",1,19
1968,2747,1,100,1,100,"President Kennedy first made that promise for us, and we kept it.",1,12
1968,2748,1,100,1,100,"We brought an end to recurring recessions, each one of which had followed closer on the heels of the last.",1,20
1968,2749,1,100,1,100,Full cooperation between our government officials and all sectors of American life led to new public policies which unlocked the creative power of America's free enterprise system.,1,27
1968,2750,1,100,1,100,The magnificent response of all the people comprising that system made the world stand in awe of the results.,1,19
1968,2751,1,100,1,100,"Since 1961, we have seen:A 90-month period of recession-free prosperity, the longest and strongest period of sustained economic growth in American history;",1,22
1968,2752,1,103,1,103,A slash in the unemployment rate from 7 to under 4 percent;,1,12
1968,2753,1,101,1,101,An increase of nearly 40 percent in real wages and salaries and nearly one-third in the average person's real income;,1,20
1968,2754,1,107,1,107,"And, on the eight year average, a reduction in the rate levels of the individual income tax.",1,17
1968,2755,1,100,1,100,America's private enterprise system flourished as never before in these years of Democratic leadership.,1,14
1968,2756,1,100,1,100,"Compared with the preceding eight Republican years, private enterprise in the Democratic 1960's grew twice as fast, profits increased twice as rapidly, four times as many jobs were created, and thirteen million Americansíïor one-third of those in poverty in 1960íïhave today established its bondage.",1,44
1968,2757,1,100,1,100,"Democrats, however, were not satisfied.",1,5
1968,2758,1,103,1,103,We sawíïand were the first to seeíïthat even sustained prosperity does not eliminate hard-core unemployment.,1,15
1968,2759,13,1302,13,1302,"We were the first to see that millions of Americans would never share in America's abundance unless the people as a whole, through their government, acted to supplement what the free enterprise could do.",1,34
1968,2760,13,1302,13,1302,"So, under the leadership of President Johnson, this nation declared war on povertyíïa war in which the government is again working in close cooperation with leaders of the free enterprise system.",1,31
1968,2761,13,1302,13,1302,It would compromise the integrity of words to claim that the war on poverty and for equal opportunity has been won.,1,21
1968,2762,13,1302,13,1302,Democrats are the first to insist that it has only beguníïwhile 82 percent of the House Republicans and 69 percent of the Senate Republicans voted against even beginning it at all.,1,31
1968,2763,13,1302,13,1302,Democrats know that much more remains to be done.,1,9
1968,2764,13,1302,13,1302,"What we have done thus far is to test a series of pilot projects before making them bigger, and we have found that they DO work.",1,26
1968,2765,6,603,6,603,Thus:The new pre-school program known as Head Start has proven its effectiveness in widening the horizons of over two million poor children and their parents.,1,25
1968,2766,5,506,5,506,"The new programs known as the Job Corps and the Neighborhood Youth Corps, enrolling close cooperation between the government and private enterprise, have helped nearly two million unskilled boys and girlsíïmost of them drop-outs from schoolíïget work in the community and in industry.",1,43
1968,2767,6,601,6,601,The new program known as Upward Bound has helped thousands of poor but talented young men and women prepare themselves for college.,1,22
1968,2768,14,1401,14,1401,The new structure of neighborhood centers brings modern community services directly to the people who need them most.,1,18
1968,2769,13,1302,13,1302,"We emphasize that the coldly stated statistics of gains made in the war on poverty must be translated to mean people, in all their yearnings for personal fulfillment.",1,28
1968,2770,13,1300,13,1300,That is true as well of all other things in the great outpouring of constructive legislation that surpassed even the landmark years of the early New Deal.,1,27
1968,2771,6,600,6,600,Education is one example.,1,4
1968,2772,6,600,6,600,"From the beginning of our Party history, Democrats argued that liberty and learning must find in each other the surest ground for mutual support.",1,24
1968,2773,6,602,6,602,"The inherited conviction provided the motive force behind the educational legislation of the 1960's that we enacted:Because of the Elementary and Secondary Education Act of 1965, local education has been enriched to the benefit of over 13 million young Americans;",1,40
1968,2774,6,601,6,601,"Because of the Higher Education Act of 1965, new college classrooms, laboratories and libraries have been built to assure that higher education will not be the monopoly of the few but the right of the many;",1,36
1968,2775,6,601,6,601,"Because of federal assistance to students, the doors to college have been opened for over a million young men and women coming from families with modest meansíïso that about one out of every five college students is now pursuing his higher education with some kind of federal help;",1,48
1968,2776,6,600,6,600,"Because Democrats are convinced that the best of all investments is in the human resources represented by the youth of America, we brought about a four-fold increase in the federal investment in education since 1960.",1,35
1968,2777,6,600,6,600,The level now approaches $12 billion annually.,1,7
1968,2778,3,300,3,300,"As it promoted better education, so did Democratic leadership promote better health for all.",1,14
1968,2779,13,1303,13,1303,"The program of mercy and justice known as health care for the aged, which President Truman originally proposed and Presidents Kennedy and Johnson fought for, finally became law in the summer of 1965.",1,33
1968,2780,13,1303,13,1303,"Because of it, more than seven million older citizens each year are now receiving modern medical care in dignityíïno longer forced to depend on charity, no longer a burden on relatives, no longer in physical pain because they cannot afford to pay for the healing power of modern medicine.",1,49
1968,2781,13,1303,13,1303,"Virtually all older Americans, the well and the sick alike, are now protected, their lives more secure, their afflictions eased.",1,20
1968,2782,3,300,3,300,"To deal with other aspects of the nation's health needs, measures were enacted in the Democratic years representing an almost fourfold increase in the government's investment in health.",1,28
1968,2783,3,300,3,300,"Programs were enacted to cope with the killing diseases of heart, cancer and stroke; to combat mental retardation and mental illness;",1,21
1968,2784,3,325,3,325,to increase the manpower supply of trained medical technicians;,1,9
1968,2785,3,322,3,322,to speed the construction of new hospitals.,1,7
1968,2786,2,201,2,201,Democrats in the Presidency and in the Congress have led the fight to erase the stain of racial discrimination that tarnished America's proudly announced proposition that all men are created equal.,1,31
1968,2787,2,201,2,201,We knew that racial discrimination was present in every section of the country.,1,13
1968,2788,2,201,2,201,We knew that the enforcement of civil rights and general laws is indivisible.,1,13
1968,2789,2,201,2,201,"In this conviction, Democrats took the initiative to guarantee the right to safety and security of the person, the right to all the privileges of citizenship, the right to equality of opportunity in employment, and the right to public services and accommodations and housing.",1,44
1968,2790,2,201,2,201,"For example:Because of the Civil Rights Act of 1964, all men born equal in the eyes of their Creator are by law declared to be equal when they apply for a job, or seek a night's lodging or a good meal;",1,41
1968,2791,2,206,2,206,"Because of the Voting Rights Act of 1965, the right to the ballot boxíïthe right on which all other rights dependíïhas been reinforced by law;",1,25
1968,2792,2,201,2,201,"Because of the Civil Rights Act of 1968, all families will have an equal right to live where they wish.",1,20
1968,2793,14,1403,14,1403,The frontier on which most Americans live is the vertical frontier of the city.,1,14
1968,2794,14,1403,14,1403,It is a frontier whose urgent needs hold a place of very high priority on the national agendaíïand on the agenda of the Democratic Party.,1,25
1968,2795,14,1403,14,1403,Democrats recognize that the race to save our cities is a race against the absolute of time itself.,1,18
1968,2796,14,1403,14,1403,The blight that threatens their future takes many forms.,1,9
1968,2797,14,1403,14,1403,It is the physical decay of homes and neighborhoods.,1,9
1968,2798,14,1403,14,1403,It is poverty and unemployment.,1,5
1968,2799,14,1403,14,1403,It is broken homes and social disintegration.,1,7
1968,2800,14,1403,14,1403,It is crime.,1,3
1968,2801,14,1403,14,1403,It is congestion and pollution.,1,5
1968,2802,14,1403,14,1403,The Democratic program attacked all of these forms of blightíïand all at once.,1,13
1968,2803,14,1403,14,1403,"Since we know that the cities can be saved only by the people who live there, Democrats have invigorated local effort through federal leadership and assistance.",1,26
1968,2804,14,1403,14,1403,"In almost every city, a community action agency has mounted a many-sided assault on poverty.",1,15
1968,2805,14,1403,14,1403,"Through varied neighborhood organizations, the poor themselves are tackling their own problems and devising their own programs of self-help.",1,19
1968,2806,14,1403,14,1403,"Under Model Cities legislation, enacted in 1966, seventy-five cities are now launching the most comprehensive programs of economic, physical, and social development ever undertakeníïand the number of participating cities will be doubled soon.",1,33
1968,2807,14,1403,14,1403,"In this effort, the residents of the areas selected to become the model neighborhoods are participating fully in planning their future and deciding what it will be.",1,27
1968,2808,14,1406,14,1406,"In a series of housing acts beginning in 1961, Democrats have found ways to encourage private enterprise to provide modern, decent housing for low-income and moderate-income families.",1,27
1968,2809,14,1401,14,1401,The Housing and Urban Development Act of 1968 is the most far-reaching housing legislation in America's history.,1,17
1968,2810,14,1401,14,1401,"Under its terms, the genius of American business will combine with the productivity of American labor to meet a 10-year goal of 26 million new housing unitsíï6 million of them for the poor.",1,33
1968,2811,14,1400,14,1400,"To give our cities a spokesman of Cabinet rank, Democrats in 1965 took the lead in creating a Department of Housing and Urban Development.",1,24
1968,2812,14,1405,14,1405,Democratic Presidents and Congresses have moved with equal vigor to help the people of America's vast hinterland outside the metropolitan centers to join the march of economic progress.,1,28
1968,2813,14,1405,14,1405,"Of the 101 major areas classified as ""depressed areas"" when the Democrats assumed office in 1961, 90 have now solved their problems of excessive unemployment and the others are on their way.",1,32
1968,2814,14,1405,14,1405,"The Area Redevelopment Act, the expansion of resource development programs, and the massive effort to restore Appalachia and other lagging regions to economic health assisted the people of these areas in their remarkable progress.",1,34
1968,2815,14,1405,14,1405,In these legislative undertakings of primary concern to peopleíïAmerican peopleíïit is to the credit of some Republicans that they joined the Democratic majority in a common effort.,1,27
1968,2816,14,1405,14,1405,"Unfortunately, however, most Republicans sat passively by while Democrats wrote the legislation the nation's needs demanded.",1,16
1968,2817,14,1405,14,1405,"Worse, and more often, Republicans did what they could to obstruct and defeat the measures that were approved by Democrats in defiance of hostile Republican votes.",1,26
1968,2818,6,602,6,602,"Thus:In the case of the Elementary and Secondary Education Act, 73 percent of the Republicans in the House voted to kill it.",1,22
1968,2819,13,1303,13,1303,"In the case of medical care for the aged, 93 percent of the Republicans in the House and 64 percent in the Senate voted to kill it.",1,27
1968,2820,14,1403,14,1403,"In the case of the Model Cities program, 88 percent of the Republicans in the House voted to kill it.",1,20
