year,id,pap_majortopic,pap_subtopic,majortopic,subtopic,description,words
1976,4338,4,401,4,401,The overseas sale of our agricultural products benefits American farmers and consumers.,12
1976,4339,4,401,4,401,"To guard against any sudden shift in domestic prices as the consequence of unannounced purchases, we have instituted strict reporting procedures and other treaty safeguards.",25
1976,4340,4,401,4,401,"We shall not permit concessional sales of agricultural products to the Soviet Union, nor shall we permit the Soviet Union or others to determine our agricultural export policies by irregular and unpredictable purchases.",33
1976,4341,19,1921,19,1921,The United States and the Soviet Union remain ideological competitors.,10
1976,4342,19,1921,19,1921,We do not shrink from such a challenge; r,9
1976,4343,19,1921,19,1921,"ather, we welcome the opportunity to demonstrate that our way of life is inherently preferable to regimentation and government-enforced orthodoxy.",20
1976,4344,19,1925,19,1925,"We shall expect the Soviet Union to implement the United Nations Declaration on Human Rights and the Helsinki Agreements, which guarantee the conditions for the free interchange of information and the right to emigrate, including emigration of Soviet Jews, Christians, Moslems and others who wish to join relatives abroad.",49
1976,4345,19,1925,19,1925,"In this spirit we shall expect the immediate end of all forms of harassment, including imprisonment and military service, aimed at preventing such emigration.",24
1976,4346,19,1925,19,1925,America must take a firm stand to bring about liberalization of emigration policy in countries which limit or prohibit free emigration.,21
1976,4347,19,1925,19,1925,"Governments which enjoy the confidence of their people need have no fear of cultural, intellectual or press freedom.",18
1976,4348,19,1921,19,1921,Our support for the people of Central and Eastern Europe to achieve self-determination will continue.,15
1976,4349,19,1921,19,1921,Their ability to choose their future is of great importance to peace and stability.,14
1976,4350,19,1921,19,1921,We favor increasing contacts between Eastern and western Europe and support the increasing economic ties of all the countries of Europe.,21
1976,4351,19,1929,19,1929,"We strongly support the continuation of the Voice of America, Radio Free Europe and Radio Liberty with adequate appropriations.",19
1976,4352,19,1921,19,1921,Strict reciprocity must govern our diplomatic relations with the Soviet Union.,11
1976,4353,19,1921,19,1921,"We express our concern for the safety of our diplomatic representatives in the Soviet Union, and we insist that practices such as microwave transmissions directed at the United States Embassy be terminated immediately.",33
1976,4354,19,1921,19,1921,Thus our relations with the Soviet Union will be guided by solid principles.,13
1976,4355,16,1604,16,1604,We will maintain our strategic and conventional forces;,8
1976,4356,19,1921,19,1921,we will oppose the deployment of Soviet power for unilateral advantages or political and territorial expansion;,16
1976,4357,19,1921,19,1921,we will never tolerate a shift against us in the strategic balance;,12
1976,4358,19,1921,19,1921,"and we will remain firm in the face of pressure, while at the same time expressing our willingness to work on the basis of strict reciprocity toward new agreements which will help achieve peace and stability.",36
1976,4359,19,1900,19,1900,Strong support for international cooperation in all fields has been a hallmark of United States international policy for many decades.,20
1976,4360,19,1900,19,1900,"Two Republican Administrations have strengthened agencies of international cooperation not only because of our humanitarian concern for others, but also because it serves United States interests to be a conscientious member of the world community.",35
1976,4361,19,1926,19,1926,The political character of the United Nations has become complex.,10
1976,4362,19,1926,19,1926,"With 144 sovereign members, the U.N. experiences problems associated with a large, sometimes cumbersome and diverse body.",17
1976,4363,19,1926,19,1926,"We seek to accommodate to these changes in the spirit of friendly concern, but when the United Nations becomes arrayed against the vital interest of any of its member states on ideological or other narrow grounds, the very principles of the organization are threatened.",44
1976,4364,19,1926,19,1926,"The United States does not wish to dictate to the U.N., yet we do have every right to expect and insist that scrupulous care be given to the rights of all members.",32
1976,4365,19,1926,19,1926,Steamroller techniques for advancing discriminatory actions will be opposed.,9
1976,4366,19,1926,19,1926,Actions such as the malicious attempt to depict Zionism as a form of racism are inconsistent with the objectives of the United Nations and are repugnant to the United States.,30
1976,4367,19,1926,19,1926,The United States will continue to be a firm supporter and defender of any nation subjected to such outrageous assaults.,20
1976,4368,19,1926,19,1926,We will not accept ideological abuses of the United States.,10
1976,4369,19,1926,19,1926,"In the many areas of International cooperation which benefit the average Americaníïelimination of terrorism, peacekeeping, non-proliferation of nuclear weapons, termination of the international drug trade, and orderly use of ocean resourcesíïwe pledge to build new international structures of cooperation.",39
1976,4370,19,1926,19,1926,"At the same time, we shall seek to insure that the cost of such new structures, as well as the cost of existing structures, are more equitably shared among participating nations.",31
1976,4371,19,1926,19,1926,"In the continued tradition of American concern for the quality of human life everywhere, we shall give vigorous support to the non-political work of the specialized agencies of the United Nations which deal with such areas as nutrition and disaster relief for the world's poor and disadvantaged.",47
1976,4372,19,1926,19,1926,The United States should withdraw promptly from the International Labor Organization if that body fails to stop its increasing politicization.,20
1976,4373,19,1901,19,1901,Eight years ago we pledged to eliminate waste and to make more business-like the administration of United States foreign aid programs.,21
1976,4374,19,1901,19,1901,We have endeavored to fulfill these pledges.,7
1976,4375,19,1901,19,1901,"Our foreign economic assistance programs are now being operated efficiently with emphasis on helping others to ppp help themselves, on food production and rural development, on health programs and sound population planning assistance, and on development of human resources.",39
1976,4376,19,1901,19,1901,"We have sought to encourage others, including the oil producing countries, to assume a larger share of the burden of assistance.",21
1976,4377,19,1906,19,1906,We shall continue our efforts to secure adequate sources of financing for economic projects in emerging countries.,17
1976,4378,19,1902,19,1902,"The world's oceans, with their vast resources, must become areas of extended cooperation.",13
1976,4379,19,1902,19,1902,"We favor a successful conclusion to the Law of the Sea Conference provided it will suitably protect legitimate national interests, freedom of the seas and responsible use of the seas.",30
1976,4380,19,1902,19,1902,We are determined to maintain the right of free and unmolested passage for ships of all nations on the high seas and in international waterways.,25
1976,4381,19,1902,19,1902,"We favor an extension of the territorial sea from three to twelve miles, and we favor in principle the creation of a 200-mile economic zone in which coastal states would have exclusive rights to explore and develop natural resources.",39
1976,4382,18,1804,18,1804,We strongly condemn illegal corporate payments made at home and abroad.,11
1976,4383,18,1804,18,1804,"To eliminate illegal payments to foreign officials by American corporations, we support passage of President Ford's proposed legislation and the OECD Declaration on Investment setting forth reasonable guidelines for business conduct.",31
1976,4384,8,801,8,801,"The growth of civilian nuclear technology, and the rising demand for nuclear power as an alternative to increasingly costly fossil fuel resources, combine to require our recognition of the potential dangers associated with such developments.",35
1976,4385,17,1705,17,1705,All nations must work to assure that agreements and treaties currently governing nuclear technology and nuclear exports are carefully monitored.,20
1976,4386,17,1705,17,1705,We shall work to devise new multilateral policies governing the export of sensitive nuclear technologies.,15
1976,4387,19,1900,19,1900,The tumultuous events of the past several years in the world economy were an enormous challenge to our creativity and to our capacity for leadership.,25
1976,4388,19,1900,19,1900,"We have emerged from this difficult period in a new position in the world, and we have directed and guided a sound recovery.",23
1976,4389,19,1900,19,1900,"To assure the permanence of our own prosperity, we must work with others, demonstrating our leadership and the vitality of our economy.",22
1976,4390,19,1900,19,1900,"Together with the industrial democracies, we must ensure steady, non-inflationary growth, based on expanded international cooperation.",16
1976,4391,18,1808,18,1808,"The Republican Administration will cooperate fully in strengthening the international trade and monetary system, which provides the foundation for our prosperity and that of all nations.",26
1976,4392,18,1802,18,1802,"We shall bargain hard to remove barriers to an open economic system, and we shall oppose new restrictions to trade.",20
1976,4393,18,1802,18,1802,"We shall continue to represent vigorously our nation's economic interests in the trade negotiations taking place in Geneva, guard against protectionism, and insist that the principles of fair trade be scrupulously observed.",32
1976,4394,18,1806,18,1806,"When industries and jobs are adversely affected by foreign competition, adjustment assistance under the Trade Act of 1974 is made available.",21
1976,4395,18,1806,18,1806,This Act must be under continuous review to ascertain that it reflects changing circumstances.,14
1976,4396,8,800,8,800,The Republican Party believes that cooperation in the energy field is indispensable to international stability.,15
1976,4397,8,803,8,803,"Most of the industrial democracies and the less developed countries are increasingly dependent on imported oil, which causes them to be politically, economically and strategically vulnerable.",26
1976,4398,8,803,8,803,"Through the establishment of the International Energy Agency, steps have been taken to expand consumer cooperation.",16
1976,4399,8,803,8,803,We shall also continue the dialogue with the oil producing countries.,11
1976,4400,19,1905,19,1905,We shall continue to work closely with the less-developed countries to promote their economic growth.,15
1976,4401,18,1802,18,1802,Those countries will be encouraged to enter into mutually beneficial trade relationships with us that contribute to world peace.,19
1976,4402,18,1802,18,1802,"To achieve this, we must strengthen the confidence of the major industrial countries as they take part in discussions with less-developed countries.",22
1976,4403,19,1900,19,1900,There is no reason for us to be defensive;,9
1976,4404,19,1900,19,1900,our combined assets can be used in a coordinated strategy to make our influence effective.,15
1976,4405,19,1900,19,1900,We will not yield to threats or confrontational politics.,9
1976,4406,18,1800,18,1800,"While we shall support a global increase of investment in natural resources of all types, we shall also oppose the replacement of the free market mechanism by cartels, price-fixing arrangements or commodity agreements.",33
1976,4407,4,401,4,401,We shall continue policies designed to assure free market consumers abroad that the United States will remain a dependable supplier of agricultural commodities.,23
1976,4408,19,1900,19,1900,The American people can be proud of our nation's achievements in foreign policy over the past eight years.,18
1976,4409,19,1900,19,1900,We are at peace.,4
1976,4410,19,1900,19,1900,We are strong.,3
1976,4411,19,1900,19,1900,We are strong.,3
1976,4412,19,1900,19,1900,Our relations with allies in the Atlantic community and with japan have never been closer.,15
1976,4413,19,1921,19,1921,Significant progress has been made toward a just and durable settlement in the Middle East.,15
1976,4414,19,1900,19,1900,"We have sought negotiation rather than confrontation with our adversaries, while maintaining our strategic deterrent.",15
1976,4415,19,1900,19,1900,"The world economic recovery, led by the United States, is producing sustainable growth.",13
1976,4416,-555,-555,0,-555,"In this year of our nation's bicentennial, the American people have confidence in ppp themselves and are optimistic about the future.",21
1976,4417,-555,-555,0,-555,"We, the Republican Party, proudly submit our record and our Platform to you.",13
1980,4418,-555,-555,0,-555,"The Republican Party convenes, presents this platform, and selects its nominees at a time of crisis.",16
1980,4419,-555,-555,0,-555,America is adrift.,3
1980,4420,-555,-555,0,-555,"Our country moves agonizingly, aimlessly, almost helplessly into one of the most dangerous and disorderly periods in history.",18
1980,4421,1,100,1,100,"At home, our economy careens, whiplashed from one extreme to another.",11
1980,4422,1,101,1,101,"Earlier this year, inflation skyrocketed to its highest levels in more than a century;",14
1980,4423,1,100,1,100,"weeks later, the economy plummeted, suffering its steepest slide on record.",11
1980,4424,1,101,1,101,Prices escalate at more than 10 percent a year.,9
1980,4425,1,103,1,103,More than eight million people seek employment.,7
1980,4426,1,108,1,108,Manufacturing plants lie idle across the country.,7
1980,4427,1,100,1,100,The hopes and aspirations of our people are being smothered.,10
1980,4428,19,1900,19,1900,"Overseas, conditions already perilous, deteriorate.",5
1980,4429,19,1921,19,1921,The Soviet Union for the first time is acquiring the means to obliterate or cripple our land-based missile system and blackmail us into submission.,24
1980,4430,19,1921,19,1921,Marxist tyrannies spread more rapidly through the Third World and Latin America.,12
1980,4431,16,1602,16,1602,Our alliances are frayed in Europe and elsewhere.,8
1980,4432,8,803,8,803,Our energy supplies become even more dependent on uncertain foreign suppliers.,11
1980,4433,19,1921,19,1921,"In the ultimate humiliation, militant terrorists in Iran continue to toy with the lives of Americans.",16
1980,4434,-555,-555,0,-555,"These events are not isolated, or unrelated.",7
1980,4435,-555,-555,0,-555,They are signposts.,3
1980,4436,-555,-555,0,-555,They mark a continuing downward spiral in economic vitality and international influence.,12
1980,4437,-555,-555,0,-555,"Should the trend continue, the 1980s promise to be our most dangerous years since World War II.",17
1980,4438,-555,-555,0,-555,"History could record, if we let the drift go on, that the American experiment, so marvelously successful for 200 years, came strangely, needlessly, tragically to a dismal end early in our third century.",33
1980,4439,-555,-555,0,-555,By far the most galling aspect of it all is that the chief architects of our declineíïDemocratic politiciansíïare without program or ideas to reverse it.,25
1980,4440,-555,-555,0,-555,"Divided, leaderless, unseeing, uncomprehending, they plod on with listless offerings of pale imitations of the same policies they have pursued so long, knowing full well their futility.",27
1980,4441,-555,-555,0,-555,The Carter Administration is the unhappy and inevitable consequence of decades of increasingly outmoded Democratic domination of our national life.,20
1980,4442,-555,-555,0,-555,Over the past four years it has repeatedly demonstrated that it has no basic goals other than the perpetuation of its own rule and no guiding principle other than the fleeting insights provided by the latest opinion poll.,38
1980,4443,-555,-555,0,-555,"Policies announced one day are disavowed or ignored the next, sowing confusion among Americans at home and havoc among our friends abroad.",22
1980,4444,-555,-555,0,-555,"Republicans, Democrats, and Independents have been watching and reading these signs.",11
1980,4445,-555,-555,0,-555,They have been watching incredulously as disaster after disaster unfolds.,10
1980,4446,-555,-555,0,-555,They now have had enough.,5
1980,4447,-555,-555,0,-555,They are rising up in 1980 to say that this confusion must end;,13
1980,4448,-555,-555,0,-555,this drift must end; w,5
1980,4449,-555,-555,0,-555,e must pull ourselves together as a people before we slide irretrievably into the abyss.,15
1980,4450,-555,-555,0,-555,It doesn't have to be this way;,7
1980,4451,-555,-555,0,-555,it doesn't have to stay this way.,7
1980,4452,-555,-555,0,-555,"We, the Republican Party, hold ourselves forth as the Party best able to arrest and reverse the decline.",18
1980,4453,-555,-555,0,-555,"We offer new ideas and candidates, from the top of our ticket to the bottom, who can bring to local and national leadership firm, steady hands and confidence and eagerness.",30
1980,4454,-555,-555,0,-555,"We have unparalleled unity within our own ranks, especially between our presidential nominee and our Congressional membership.",17
1980,4455,-555,-555,0,-555,"Most important, we go forth to the people with ideas and programs for the future that are as powerful and compelling as they are fresh.",25
1980,4456,-555,-555,0,-555,"Together, we offer a new beginning for America.",8
1980,4457,1,100,1,100,Our foremost goal here at home is simple: economic growth and full employment without inflation.,15
1980,4458,1,100,1,100,Sweeping change in economic policy in America is needed so that Mr. Carter's promise of hard times and austerityíïhis one promise well keptíïcan be replaced with Republican policies that promise economic growth and job creation.,35
1980,4459,1,100,1,100,It is our belief that the stagflation of recent years not only has consigned millions of citizens to hardship but also has bottled up the enormous ingenuity and creative powers of our people.,33
1980,4460,1,100,1,100,Those energies will not be released by the sterile policies of the past: we specifically reject the Carter doctrine that inflation can be reduced only by throwing people out of work.,31
1980,4461,1,100,1,100,Prosperity will not be regained simply by government fiat.,9
1980,4462,1,100,1,100,"Rather, we must offer broad new incentives to labor and capital to stimulate a great outpouring of private goods and services and to create an abundance of jobs.",28
1980,4463,1,100,1,100,"From America's grass roots to the White House we will stand united as a party behind a bold program of tax rate reductions, spending restraints, and regulatory reforms that will inject new life into the economic bloodstream of this country.",40
1980,4464,19,1900,19,1900,"Overseas, our goal is equally simple and direct: to preserve a world at peace by keeping America strong.",18
1980,4465,19,1900,19,1900,"This philosophy once occupied a hallowed place in American diplomacy, but it was casually, even cavalierly dismissed at the outset by the Carter Administrationíïand the results have been shattering.",29
1980,4466,19,1900,19,1900,"Never before in modern history has the United States endured as many ppp humiliations, insults, and defeats as it has during the past four years: our ambassadors murdered, our embassies burned, our warnings ignored, our diplomacy scorned, our diplomats kidnapped.",40
1980,4467,19,1900,19,1900,The Carter Administration has shown that it neither understands totalitarianism nor appreciates the way tyrants take advantage of weakness.,19
1980,4468,19,1921,19,1921,The brutal invasion of Afghanistan promises to be only the forerunner of much more serious threats to the Westíïand to world peaceíïshould the Carter Administration somehow cling to power.,29
1980,4469,19,1900,19,1900,"Republicans are united in a belief that America's international humiliation and decline can be reversed only by strong presidential leadership and a consistent, far-sighted foreign policy, supported by a major upgrading of our military forces, a strengthening of our commitments to our allies, and a resolve that our national interests be vigorously protected.",53
1980,4470,19,1900,19,1900,"Ultimately, those who practice strength and firmness truly guard the peace.",11
1980,4471,-555,-555,0,-555,This platform addresses many concerns of our Party.,8
1980,4472,-555,-555,0,-555,"We seek to restore the family, the neighborhood, the community, and the workplace as vital alternatives in our national life to ever-expanding federal power.",24
1980,4473,-555,-555,0,-555,"We affirm our deep commitment to the fulfillment of the hopes and aspirations of all Americansíïblacks and whites, women and men, the young and old, rural and urban.",28
1980,4474,-555,-555,0,-555,"For too many years, the political debate in America has been conducted in terms set by the Democrats.",18
1980,4475,-555,-555,0,-555,"They believe that every time new problems arise beyond the power of men and women as individuals to solve, it becomes the duty of government to solve them, as if there were never any alternative.",35
1980,4476,-555,-555,0,-555,"Republicans disagree and have always taken the side of the individual, whose freedoms are threatened by the big government that Democratic idea has spawned.",24
1980,4477,-555,-555,0,-555,Our case for the individual is stronger than ever.,9
1980,4478,-555,-555,0,-555,A defense of the individual against government was never more needed.,11
1980,4479,-555,-555,0,-555,And we will continue to mount it.,7
1980,4480,-555,-555,0,-555,But we will redefine and broaden the debate by transcending the narrow terms of government and the individual;,18
1980,4481,-555,-555,0,-555,those are not the only two realities in America.,9
1980,4482,-555,-555,0,-555,Our society consists of more than that;,7
1980,4483,-555,-555,0,-555,so should the political debate.,5
1980,4484,-555,-555,0,-555,"We will reemphasize those vital communities like the family, the neighborhood, the workplace, and others which are found at the center of society, between government and the individual.",28
1980,4485,-555,-555,0,-555,We will restore and strengthen their ability to solve problems in the places where people spend their daily lives and can turn to each other for support and help.,29
1980,4486,8,800,8,800,We seek energy independence through economic policies that free up our energy production and encourage conservation.,16
1980,4487,3,300,3,300,"We seek improvements in health care, education, housing, and opportunities for youth.",12
1980,4488,13,1302,13,1302,We seek new avenues for the needy to break out of the tragic cycle of dependency.,16
1980,4489,-555,-555,0,-555,"All of these goalsíïand many othersíïwe confidently expect to achieve through a rebirth of liberty and resurgence of private initiatives, for we believe that at the root of most of our troubles today is the misguided and discredited philosophy of an all-powerful government, ceaselessly striving to subsidize, manipulate, and control individuals.",51
1980,4490,-555,-555,0,-555,"But it is the individual, not the government, who reigns at the center of our Republican philosophy.",17
1980,4491,-555,-555,0,-555,"To those Democrats who say Americans must be content to passively accept the gradual but inexorable decline of America, we answer: The American people have hardly begun to marshal their talents and resources or realize the accomplishments and dreams that only freedom can inspire.",44
1980,4492,-555,-555,0,-555,"To those Democrats who say we face an ""age of limits,"" we ask: Who knows the limit to what Americans can do when their capacity for work, creativity, optimism, and faith is enhanced and supported by strong and responsive political leadership and ideals.",43
1980,4493,-555,-555,0,-555,"To those who, with Mr. Carter, say the American people suffer from a national ""malaise,"" we respond: The only malaise in this country is found in the leadership of the Democratic Party, in the White House and in Congress.",39
1980,4494,-555,-555,0,-555,"Its symptoms are an incompetence to lead, a refusal to change, and a reluctance to act.",16
1980,4495,-555,-555,0,-555,This malaise has become epidemic in Washington.,7
1980,4496,-555,-555,0,-555,Its cure is government led by Republicans who share the values of the majority of Americans.,16
1980,4497,-555,-555,0,-555,Republicans pledge a restoration of balance in American society.,9
1980,4498,-555,-555,0,-555,But society cannot be balanced by the actions of government or of individuals alone.,14
1980,4499,-555,-555,0,-555,"Balance is found at society's vital center, where we find the family and the neighborhood and the workplace.",18
1980,4500,-555,-555,0,-555,"America will not, however, achieve any of these goals on its present course nor under its present leadership.",18
1980,4501,-555,-555,0,-555,The uncharted course of Mr. Carter will lead surely to catastrophe.,11
1980,4502,-555,-555,0,-555,"By reversing our economic decline, by reversing our international decline, we can and will resurrect our dreams.",17
1980,4503,-555,-555,0,-555,"And so, in this 1980 Republican Platform, we call out to the American people: With God's help, let us now, together, make America great again;",25
1980,4504,-555,-555,0,-555,"let us now, together, make a new beginning.",8
1980,4505,-555,-555,0,-555,It has long been a fundamental conviction of the Republican Party that government should foster in our society a climate of maximum individual liberty and freedom of choice.,28
1980,4506,-555,-555,0,-555,"Properly informed, our people as individuals or acting through instruments of popular consultation can make the right decisions affecting personal or general welfare, free of pervasive and heavy-handed intrusion by the central government into the decisionmaking process.",37
1980,4507,-555,-555,0,-555,This tenet is the genius of representative democracy.,8
1980,4508,-555,-555,0,-555,"Republicans also treasure the ethnic, cultural, and regional diversity of our people.",12
1980,4509,-555,-555,0,-555,This diversity fosters a dynamism in American society that is the envy of the world.ppp,15
1980,4510,1,107,1,107,"Elsewhere in this platform we discuss the benefits, for society as a whole, of reduced taxation, particularly in terms of economic growth.",22
1980,4511,1,107,1,107,But we believe it is essential to cut personal tax rates out of fairness to the individual.,17
1980,4512,1,107,1,107,"Presently, the aggregate burden of taxation is so great that the average American spends a substantial part of every year, in effect, working for government.",25
1980,4513,1,107,1,107,Substantial tax rate reductions are needed to offset the massive tax increases facing the working men and women of this country.,21
1980,4514,1,107,1,107,"Over the next four years, federal taxes are projected to increase by over $500 billion due to the Carter Administration's policies.",21
1980,4515,1,107,1,107,American families are already paying taxes at higher rates than ever in our history;,14
1980,4516,1,107,1,107,"as a result of these Carter policies, the rates will go even higher.",13
1980,4517,1,107,1,107,"The direct and indirect burden of federal taxes alone, imposed on the average family earning $20,000, has risen to $5,451íïover 27 percent of the family's gross income.",27
1980,4518,1,107,1,107,"During the Carter term, the federal tax alone on this family will have risen $2,000.",15
1980,4519,1,105,1,105,The Republican Party believes balancing the budget is essential but opposes the Democrats' attempt to do so through higher taxes.,20
1980,4520,1,105,1,105,"We believe that an essential aspect of balancing the budget is spending restraint by the federal government and higher economic growth, not higher tax burdens on working men and women.",30
1980,4521,1,107,1,107,"Policies of the Democratic Party are taxing work, saving, investment, productivity, and the rewards for human ingenuity.",17
1980,4522,1,107,1,107,"These same tax policies subsidize debt, unemployment, and consumption.",9
1980,4523,1,107,1,107,The present structure of the personal income tax system is designed to broaden the gap between effort and reward.,19
1980,4524,1,107,1,107,"Therefore, the Republican Party supports across-the-board reductions in personal income tax rates, phased in over three years, which will reduce tax rates from the range of 14 to 70 percent to a range from 10 to 50 percent.",38
1980,4525,1,107,1,107,"For most Americans, these reduced tax rates will slow the rate at which taxes rise.",15
1980,4526,1,107,1,107,This will assure workers and savers greater rewards for greater effort by lowering the rate at which added earnings would be taxed.,22
1980,4527,1,107,1,107,These reductions have been before the Congress for three years in the Roth-Kemp legislation.,14
1980,4528,1,107,1,107,"The proposal will not only provide relief for all American taxpayers, but also promote non-inflationary economic growth by restoring the incentive to save, invest, and produce.",26
1980,4529,1,107,1,107,"These restored incentives will in turn increase investment and help reinvigorate American business and industry, leading to the creation of more jobs.",22
1980,4530,1,107,1,107,"In fact, Governor Reagan and Congressional Republicans have already taken the first step.",13
1980,4531,1,107,1,107,"Working together, they have boldly offered the American people a 10 percent tax rate cut for 1981, which will stimulate growth in our economy, and a simplification and liberalization of depreciation schedules to create more jobs.",36
1980,4532,1,107,1,107,"Once tax rates are reduced, Republicans will move to end tax bracket creep caused by inflation.",16
1980,4533,1,107,1,107,We support tax indexing to protect taxpayers from the automatic tax increases caused when cost-of-living wage increases move them into higher tax brackets.,23
1980,4534,1,107,1,107,"Tax rate reductions will generate increases in economic growth, output, and income which will ultimately generate increased revenues.",18
1980,4535,1,107,1,107,"The greater justification for these cuts, however, lies in the right of individuals to keep and use the money they earn.",21
1980,4536,13,1302,13,1302,The measure of a country's compassion is how it treats the least fortunate.,13
1980,4537,13,1302,13,1302,"In every society there will be some who cannot work, often through no fault of their own.",17
1980,4538,13,1302,13,1302,"Yet current federal government efforts to help them have become counterproductive, perpetuating and aggravating the very conditions of dependence they seek to relieve.",23
1980,4539,13,1302,13,1302,"The Democratic Congress has produced a jumble of degrading, dehumanizing, wasteful, overlapping, and inefficient programs that invite waste and fraud but inadequately assist the needy poor.",26
1980,4540,13,1302,13,1302,"Poverty is defined not by income statistics alone, but by an individual's true situation and prospects.",16
1980,4541,13,1302,13,1302,"For two generations, especially since the midí1960s, the Democrats have deliberately perpetuated a status of federally subsidized poverty and manipulated dependency for millions of Americans.",25
1980,4542,13,1302,13,1302,"This is especially so for blacks and Hispanics, many of whom remain pawns of the bureaucracy, trapped outside the social and economic mainstream of American life.",26
1980,4543,13,1302,13,1302,"For those on welfare, our nation's tax policies provide a penalty for getting a job.",15
1980,4544,13,1302,13,1302,"This is especially so for those whose new income from a job is either equal to, or marginally greater than, the amount received on welfare.",25
1980,4545,13,1302,13,1302,"In these cases, due to taxes, the individual's earned income is actually less than welfare benefits.",16
1980,4546,13,1302,13,1302,"This is the ""poverty trap"" which will continue to hold millions of Americans as long as they continue to be punished for working.",23
1980,4547,13,1302,13,1302,The Carter Administration and the Democratic Party continue to foster that dependency.,12
1980,4548,13,1302,13,1302,Our nation's welfare problems will not be solved merely by providing increased benefits.,13
1980,4549,13,1302,13,1302,"Public service jobs are not a substitute for employable skills, nor can increases in the food stamp program by themselves provide for individual dignity.",24
1980,4550,13,1302,13,1302,"By fostering dependency and discouraging self-reliance, the Democratic Party has created a welfare constituency dependent on its continual subsidies.",19
1980,4551,13,1302,13,1302,"The Carter Administration has proposed, and its allies in the House of Representatives actually voted for, legislation to nationalize welfare, which would have cost additional billions and made millions more dependent ppp upon public assistance.",35
1980,4552,13,1301,13,1302,The Democrats have presided overíïand must take the blame foríïthe most monstrous expansion and abuse of the food stamp program to date.,22
1980,4553,13,1302,13,1302,They have been either unable or unwilling to attack the welfare fraud that diverts resources away from the truly poor.,20
1980,4554,13,1302,13,1302,"They have sacrificed the needy to the greedy, and sent the welfare bills to the taxpayers.",16
1980,4555,13,1302,13,1302,"We categorically reject the notion of a guaranteed annual income, no matter how it may be disguised, which would destroy the fiber of our economy and doom the poor to perpetual dependence.",32
1980,4556,13,1302,13,1302,As a party we commit ourselves to a welfare policy that is truly reflective of our people's true sense of compassion and charity as well as an appreciation of every individual's need for dignity and self-respect.,36
1980,4557,13,1302,13,1302,We pledge a system that will:Provide adequate living standards for the truly needy;,13
1980,4558,13,1302,13,1302,"End welfare fraud by removing ineligibles from the welfare rolls, tightening food stamp eligibility requirements, and ending aid to illegal aliens and the voluntarily unemployed;",25
1980,4559,13,1302,13,1302,"Strengthen work incentives, particularly directed at the productive involvement of able-bodied persons in useful community work projects;",17
1980,4560,6,600,6,600,Provide educational and vocational incentives to allow recipients to become self-supporting; and,12
1980,4561,13,1302,13,1302,Better coordinate federal efforts with local and state social welfare agencies and strengthen local and state administrative functions.,18
1980,4562,13,1302,13,1302,We oppose federalizing the welfare system;,6
1980,4563,13,1302,13,1302,local levels of government are most aware of the needs in their communities.,13
1980,4564,13,1302,13,1302,We support a block grant program that will help return control of welfare programs to the states.,17
1980,4565,13,1302,13,1302,"Decisions about who gets welfare, and how much, can be better made on the local level.",16
1980,4566,13,1301,13,1302,"Those features of the present law, particularly the food stamp program, that draw into assistance programs people who are capable of paying for their own needs should be corrected.",29
1980,4567,13,1301,13,1302,The humanitarian purpose of such programs must not be corrupted by eligibility loopholes.,13
1980,4568,13,1301,13,1302,Food stamp program reforms proposed by Republicans in Congress would accomplish the twin goals of directing resources to those most in need and streamlining administration.,25
1980,4569,13,1302,13,1302,"Through long association with government programs, the word ""welfare"" has come to be perceived almost exclusively as tax-supported aid to the needy.",22
1980,4570,13,1305,13,1305,"But in its most inclusive senseíïand as Americans understood it from the beginning of the Republicíïsuch aid also encompasses those charitable works performed by private citizens, families, and social, ethnic, and religious organizations.",33
1980,4571,13,1305,13,1305,"Policies of the federal government leading to high taxes, rising inflation, and bureaucratic empire-building have made it difficult and often impossible for such individuals and groups to exercise their charitable instincts.",31
1980,4572,13,1305,13,1305,"We believe that government policies that fight inflation, reduce tax rates, and end bureaucratic excesses can help make private effort by the American people once again a major force in those works of charity which are the true signs of a progressive and humane society.",45
1980,4573,16,1609,16,1608,Republicans recognize the very special sacrifice of those who have served in our nation's armed forces.,16
1980,4574,16,1609,16,1608,Individual rights and societal values are only as strong as a nation's commitment to defend them.,16
1980,4575,16,1609,16,1608,Because of this our country must never forget its appreciation of and obligation to our veterans.,16
1980,4576,16,1609,16,1608,Today the veteran population numbers 30 million.,7
1980,4577,16,1609,16,1608,This is the largest veteran population in our nation's history.,10
1980,4578,16,1609,16,1608,We recognize the major sacrifices they have made for their fellow Americans.,12
1980,4579,16,1609,16,1608,We will maintain the integrity of the Veterans Administration.,9
1980,4580,16,1609,16,1608,We will seek to keep it separate and distinct from other federal agencies as the single agency for the administration of all veterans' programs.,24
1980,4581,16,1609,16,1608,In particular we feel it is of vital importance to continue and expand the health-programs provided to veterans through the Veterans Administration hospitals.,23
1980,4582,16,1609,16,1608,"Here we see the need for increased access to care, especially for older veterans.",14
1980,4583,16,1609,16,1608,We further advocate continued and expanded health care for our Vietnam veterans and consider it vital for the Veterans Administration to continue its programs for the rehabilitation of the disabled as well as its job training efforts.,37
